 objectid,premises_name, long, lat, lga
16611,RUBBER DUCK,144.9905947,-37.78910854,YARRA
16612,WILLIAMSTOWN SAILING CLUB,144.902117,-37.857571,HOBSONS BAY
16613,"BWS - BEER, WINE, SPIRITS",145.1896755,-37.9098915,MONASH CITY
16614,"BWS - BEER, WINE, SPIRITS",145.08332,-37.812878,BOROONDARA
16615,"BWS - BEER, WINE, SPIRITS",145.056209,-37.887939,GLEN EIRA CITY
16616,"BWS - BEER, WINE, SPIRITS",145.189991,-37.935965,MONASH CITY
16617,DENDY PARK LAWN TENNIS CLUB,145.017231,-37.921589,BAYSIDE
16618,HEYFIELD TENNIS CLUB,146.79047,-37.982596,WELLINGTON
16619,DA VINCI SOCIAL CLUB,146.347888,-36.405776,WANGARATTA
16620,TOONGABBIE GOLF CLUB,146.637494,-38.059876,LATROBE
16621,PORTLAND FOOTBALL NETBALL CRICKET CLUB,141.599487,-38.346495,GLENELG
16622,CHELSEA HEIGHTS SPORTS & SOCIAL CLUB,145.1292048,-38.0482581,KINGSTON CITY
16623,BEEAC GOLF CLUB (INC),143.6591111,-38.1942442,COLAC OTWAY
16624,HODDLES CREEK CRICKET CLUB,145.5922641,-37.8214634,YARRA RANGES
16625,BELMONT LIONS SPORTS CLUB INC,144.33934,-38.183832,GREATER GEELONG
16626,BERWICK FOOTBALL CLUB,145.363832,-38.02814,CASEY
16627,FRANKSTON Y.C.W. FOOTBALL CLUB,145.144343,-38.151295,FRANKSTON
16628,LINDENOW SOUTH FOOTBALL CLUB,147.4314228,-37.831731,EAST GIPPSLAND
16629,COHUNA LAWN TENNIS CLUB,144.22181,-35.806641,GANNAWARRA
16630,HEYWOOD & DISTRICT ANGLING CLUB,141.6288746,-38.13110353,GLENELG
16631,BOORT TENNIS CLUB,143.7266379,-36.1165412,LODDON
16632,WANTIRNA TENNIS CLUB,145.2087315,-37.8583583,KNOX CITY
16633,PORT FAIRY FOOTBALL CLUB,142.240757,-38.376512,MOYNE
16634,NEERIM-NEERIM SOUTH FOOTBALL/NETBALL CLUB,145.956357,-38.016428,BAW BAW SHIRE
16635,BEULAH FOOTBALL CLUB INC,142.417574,-35.941696,YARRIAMBIACK
16636,ELTHAM FOOTBALL CLUB,145.144981,-37.715274,NILLUMBIK
16637,FAIRFIELD BOWLING CLUB,145.017882,-37.774832,DAREBIN
16638,MACARTHUR BOWLS CLUB,142.0007257,-38.0338544,MOYNE
16639,ISTRA SOCIAL-BOCCE ASSOCIATION,144.9733266,-37.64716424,HUME
16640,SIMPSON FOOTBALL NETBALL CLUB,143.210285,-38.495146,CORANGAMITE
16641,PARKDALE FOOTBALL CLUB,145.0818527,-37.9911143,KINGSTON CITY
16642,WAVERLEY HOCKEY CLUB,145.100813,-37.869364,MONASH CITY
16643,ROKEWOOD CORINDHAP FOOTBALL CLUB,143.717371,-37.901872,GOLDEN PLAINS
16644,SEAFORD UNITED SOCCER CLUB,145.129781,-38.10168,FRANKSTON
16645,HEPBURN FOOTBALL CLUB INC.,144.126035,-37.301115,HEPBURN SHIRE
16646,NORTH CITY LIONS SOCCER CLUB,144.935764,-37.695735,MORELAND
16647,TALLYGAROOPNA FOOTBALL CLUB,145.436739,-36.240583,GREATER SHEPPARTON CITY
16648,NORTHCOTE PARK FOOTBALL CLUB,145.003842,-37.782725,DAREBIN
16649,BORDER WALWA FOOTBALL CLUB,147.7367461,-35.9624776,TOWONG SHIRE
16650,DRYSDALE HAWKS FOOTBALL CLUB,144.560744,-38.174673,GREATER GEELONG
16651,TIMBOON DEMONS FOOTBALL NETBALL CLUB,142.967811,-38.478658,CORANGAMITE
16652,SOUTHERN DISTRICTS RUGBY CLUB INC,145.132082,-38.08588,FRANKSTON
16653,NEWCOMB TENNIS CLUB,144.39602,-38.166253,GREATER GEELONG
16654,PARKDALE BOWLING & SOCIAL CLUB,145.0759952,-37.9937579,KINGSTON CITY
16655,FAIRPARK FOOTBALL CLUB,145.264451,-37.868348,KNOX CITY
16656,GREENSBOROUGH FOOTBALL CLUB,145.097213,-37.706564,BANYULE
16657,KILCUNDA BASS FOOTBALL NETBALL CLUB,145.4696011,-38.480476,BASS COAST SHIRE
16658,MALDON BOWLING CLUB,144.064941,-36.989458,MOUNT ALEXANDER SHIRE
16659,OLD PARADIANS ASSOCIATION AMATEUR FOOTBALL CLUB,145.068688,-37.68829,BANYULE
16660,BACCHUS MARSH LAWN TENNIS CLUB,144.434812,-37.684013,MOORABOOL SHIRE
16661,WARNEET YACHT CLUB,145.306748,-38.225996,CASEY
16662,LONG ISLAND CRICKET CLUB,145.162937,-38.150854,FRANKSTON
16663,KIALLA PARK COMMUNITY & SPORTSCLUB,145.387269,-36.420217,GREATER SHEPPARTON CITY
16664,BARWON HEADS BOWLING CLUB,144.4897845,-38.2746481,GREATER GEELONG
16665,KATUNGA FOOTBALL CLUB,145.452591,-35.997415,MOIRA
16666,LOWER PLENTY CRICKET CLUB,145.112702,-37.71706,BANYULE
16667,BIRREGURRA BOWLING CLUB,143.783501,-38.335168,COLAC OTWAY
16668,CRIB POINT CRICKET CLUB,145.204794,-38.359207,MORNINGTON PENINSULA SHIRE
16669,GEMBROOK CRICKET CLUB,145.534243,-37.947287,CARDINIA
16670,SIMPSON BOWLS CLUB,143.208142,-38.496949,CORANGAMITE
16671,CONGUPNA TALLYGAROOPNA CRICKET CLUB,145.436739,-36.240583,GREATER SHEPPARTON CITY
16672,CITY OF OAKLEIGH PISTOL CLUB,145.1207949,-37.9541453,KINGSTON CITY
16673,BELGRAVE CRICKET CLUB,145.3461,-37.915323,YARRA RANGES
16674,EAST WARRNAMBOOL Y-C-W CRICKET CLUB,142.498775,-38.389789,WARRNAMBOOL CITY
16675,AVENEL CRICKET CLUB,145.236336,-36.901024,STRATHBOGIE
