premises_name, suburb, licence_no, address_1, address_2, postcode, long, licence_category, objectid, lga, lat
131 SHARK FIN HOUSE,MELBOURNE,32208280,131 LITTLE BOURKE STREET,null,3000,144.968956,Restaurant and cafe Licence,17582,MELBOURNE,-37.812332
THE VICTORIA HOTEL,MELBOURNE,33100029,199-231 LITTLE COLLINS STREET,null,3000,144.967178,General Licence,17602,MELBOURNE,-37.814275
ARTS CENTRE MELBOURNE,MELBOURNE SOUTH,32208052,100 ST KILDA ROAD,null,3004,144.9688556,On-Premises Licence,17650,MELBOURNE,-37.8216245
WATERSIDE HOTEL,MELBOURNE,31915884,508 FLINDERS STREET,null,3000,144.957167,Late night (general) Licence,17702,MELBOURNE,-37.8202238
THE WINDSOR,MELBOURNE,31916204,103-115 SPRING STREET,null,3000,144.9730318,Late night (general) Licence,17717,MELBOURNE,-37.81197321
YE OLDE MITRE TAVERN HOTEL,MELBOURNE,31916432,5 BANK PLACE,null,3000,144.9603354,General Licence,17727,MELBOURNE,-37.81680955
THE TURF ACCOUNTANTS,MELBOURNE,31916911,131-141 QUEEN STREET,null,3000,144.9606219,Late night (general) Licence,17749,MELBOURNE,-37.81548076
ALFRED PLACE BY ROCKPOOL,MELBOURNE,31916937,7 ALFRED PLACE,null,3000,144.9699088,Late night (general) Licence,17750,MELBOURNE,-37.81401916
HOTEL GRAND CHANCELLOR,MELBOURNE,31917056,131-137 LONSDALE STREET,null,3000,144.9684091,General Licence,17755,MELBOURNE,-37.81071299
RYDGES MELBOURNE,MELBOURNE,31917098,186 EXHIBITION STREET,null,3000,144.9706009,Late night (general) Licence,17756,MELBOURNE,-37.81156185
GEDDES LANE BALLROOM,MELBOURNE,31917161,46 KING STREET,null,3000,144.9572289,Late night (general) Licence,17761,MELBOURNE,-37.81906268
INTERCONTINENTAL MELBOURNE THE RIALTO,MELBOURNE,31917250,495 COLLINS STREET,null,3000,144.9579683,General Licence,17766,MELBOURNE,-37.81820136
THE SHERLOCK HOLMES INN,MELBOURNE,31917284,A F T DELFIN HOUSE BASEMENT,415 COLLINS STREET,3000,144.960819,Late night (general) Licence,17769,MELBOURNE,-37.817367
LIQUORLAND EXPRESS,MELBOURNE,32000268,CNR FLINDERS & ELIZABETH STREETS,null,3000,144.964923,Packaged Liquor Licence,17779,MELBOURNE,-37.817635
CELLARBRATIONS@VICTORIA MARKET,NORTH MELBOURNE,32000331,GROUND FLOOR,250-254 VICTORIA STREET,3051,144.9579894,Packaged Liquor Licence,17782,MELBOURNE,-37.80589164
CATERINA'S CUCINA E' BAR,MELBOURNE,31920334,BASEMENT,221 QUEEN STREET,3000,144.959754,General Licence,17817,MELBOURNE,-37.813555
TEJAS MODERN INDIAN,MELBOURNE,32224553,22 MCKILLOP STREET,null,3000,144.9618208,Restaurant and cafe Licence,17821,MELBOURNE,-37.81517649
KASS KASS,MELBOURNE,32224723,490 FLINDERS STREET,null,3000,144.957999,Restaurant and cafe Licence,18028,MELBOURNE,-37.819968
VANILLA BEAN,MELBOURNE,32230570,UNITS 56 & 57,287 EXHIBITION STREET,3000,144.968908,Restaurant and cafe Licence,18032,MELBOURNE,-37.809081
CROWNE PLAZA MELBOURNE,MELBOURNE,33120485,CNR SIDDLEY & SPENCER STREETS,null,3000,144.9544509,General Licence,18043,MELBOURNE,-37.8227015
THE ROYAL MELBOURNE HOTEL,MELBOURNE,31920075,621-629 BOURKE STREET,null,3000,144.9551793,Late night (general) Licence,18045,MELBOURNE,-37.81676514
MELBOURNE CLUB,MELBOURNE,32100165,36 COLLINS STREET,null,3000,144.9722133,Full Club Licence,18051,MELBOURNE,-37.81361194
INFLATION ENTERTAINMENT COMPLEX,MELBOURNE,32206602,54-60 KING STREET,null,3000,144.957165,Late night (on-premises) Licence,18055,MELBOURNE,-37.81890836
MERCURE MELBOURNE TREASURY GARDENS,MELBOURNE,33120401,13-21 SPRING STREET,null,3000,144.974319,General Licence,18087,MELBOURNE,-37.81475299
PALERMO,MELBOURNE,32205321,BASEMENT,401-405 LITTLE BOURKE STREET,3000,144.9609948,On-Premises Licence,18098,MELBOURNE,-37.81390115
RED PEPPER INDIAN RESTAURANT & BAR,MELBOURNE,31920596,14 BOURKE STREET,null,3000,144.972481,General Licence,18142,MELBOURNE,-37.811314
THE GREAT SOUTHERN HOTEL - MELBOURNE,MELBOURNE,33120558,44 SPENCER STREET,null,3000,144.9547488,General Licence,18144,MELBOURNE,-37.81974001
SHANGHAI VILLAGE,MELBOURNE,32201652,112-114 LITTLE BOURKE STREET,null,3000,144.9690952,Restaurant and cafe Licence,18147,MELBOURNE,-37.81128647
THE LOUNGE,MELBOURNE,32206327,1ST FLOOR,243-249 SWANSTON STREET,3000,144.9648114,Late night (on-premises) Licence,18157,MELBOURNE,-37.81225495
TREVISO - CUCINA VINI PIZZE,MELBOURNE,32221262,BASEMENT,4 BANK PLACE,3000,144.9605792,Restaurant and cafe Licence,18176,MELBOURNE,-37.81668553
THE STELLA MARIS ASSOCIATION,MELBOURNE,32104282,FIRST FLOOR,600 LITTLE COLLINS STREET,3000,144.9551303,Full Club Licence,18195,MELBOURNE,-37.8174975
"BWS - BEER, WINE, SPIRITS",MELBOURNE,32006646,QUEEN VICTORIA VILLAGE,194-198 LONSDALE STREET,3000,144.9655342,Packaged Liquor Licence,18215,MELBOURNE,-37.8103574
TACO BILL COLLINS STREET,MELBOURNE,32204781,BASEMENT,412 COLLINS STREET,3000,144.9605,On-Premises Licence,18239,MELBOURNE,-37.817019
